transactionType,transactionAmount,Order Invoice Date,orderId,invoiceNumbr,Hsn Code,Marketplace Trasaction Type,cgst,sgst,igst,taxRate
Courier Fee,60,02-NOV-2025,67713938445,S0D3E8/25/1682,71171100,COD Vendor Invoice,0,0,7.7,0.18
Marketing Fee,-37.2,02-NOV-2025,67713938445,S0D3E8/25/1682,71171100,NCOD Vendor Invoice,0,0,7.7,0.18
Payment Collection Fee,20,02-NOV-2025,67713938445,S0D3E8/25/1682,71171100,COD Vendor Invoice,0,0,7.7,0.18
Courier Fee,-60,30-NOV-2025,68217723334,S0D3E8/25/1953,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Marketing Fee,20.25,30-NOV-2025,68217723334,S0D3E8/25/1953,71171100,NCOD Vendor Invoice,0,0,-10.75,0.18
Payment Collection Fee,-20,30-NOV-2025,68217723334,S0D3E8/25/1953,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Courier Fee,-60,30-NOV-2025,68215417290,S0D3E8/25/1952,71171100,COD Vendor Invoice,0,0,-10.91,0.18
Marketing Fee,19.41,30-NOV-2025,68215417290,S0D3E8/25/1952,71171100,NCOD Vendor Invoice,0,0,-10.91,0.18
Payment Collection Fee,-20,30-NOV-2025,68215417290,S0D3E8/25/1952,71171100,COD Vendor Invoice,0,0,-10.91,0.18
Courier Fee,-60,30-NOV-2025,68211525901,S0D3E8/25/1949,71131110,COD Vendor Invoice,0,0,-13.5,0.18
Marketing Fee,5,30-NOV-2025,68211525901,S0D3E8/25/1949,71131110,NCOD Vendor Invoice,0,0,-13.5,0.18
Payment Collection Fee,-20,30-NOV-2025,68211525901,S0D3E8/25/1949,71131110,COD Vendor Invoice,0,0,-13.5,0.18
Courier Fee,-60,30-NOV-2025,68231989872,S0D3E8/25/1958,71131110,COD Vendor Invoice,0,0,-10.45,0.18
Marketing Fee,21.95,30-NOV-2025,68231989872,S0D3E8/25/1958,71131110,NCOD Vendor Invoice,0,0,-10.45,0.18
Payment Collection Fee,-20,30-NOV-2025,68231989872,S0D3E8/25/1958,71131110,COD Vendor Invoice,0,0,-10.45,0.18
Courier Fee,-60,30-NOV-2025,68230678080,S0D3E8/25/1957,71171100,COD Vendor Invoice,0,0,-4.65,0.18
Marketing Fee,54.15,30-NOV-2025,68230678080,S0D3E8/25/1957,71171100,NCOD Vendor Invoice,0,0,-4.65,0.18
Payment Collection Fee,-20,30-NOV-2025,68230678080,S0D3E8/25/1957,71171100,COD Vendor Invoice,0,0,-4.65,0.18
Courier Fee,-60,30-NOV-2025,68213606339,S0D3E8/25/1951,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Marketing Fee,20.25,30-NOV-2025,68213606339,S0D3E8/25/1951,71171100,NCOD Vendor Invoice,0,0,-10.75,0.18
Payment Collection Fee,-20,30-NOV-2025,68213606339,S0D3E8/25/1951,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Courier Fee,-60,30-NOV-2025,68230252922,S0D3E8/25/1956,71131110,COD Vendor Invoice,0,0,-11.06,0.18
Marketing Fee,18.56,30-NOV-2025,68230252922,S0D3E8/25/1956,71131110,NCOD Vendor Invoice,0,0,-11.06,0.18
Payment Collection Fee,-20,30-NOV-2025,68230252922,S0D3E8/25/1956,71131110,COD Vendor Invoice,0,0,-11.06,0.18
Courier Fee,-60,30-NOV-2025,68225232619,S0D3E8/25/1954,71131110,COD Vendor Invoice,0,0,-11.06,0.18
Marketing Fee,18.56,30-NOV-2025,68225232619,S0D3E8/25/1954,71131110,NCOD Vendor Invoice,0,0,-11.06,0.18
Payment Collection Fee,-20,30-NOV-2025,68225232619,S0D3E8/25/1954,71131110,COD Vendor Invoice,0,0,-11.06,0.18
Courier Fee,-60,30-NOV-2025,68211518448,S0D3E8/25/1948,71171100,COD Vendor Invoice,0,0,-10.91,0.18
Marketing Fee,19.41,30-NOV-2025,68211518448,S0D3E8/25/1948,71171100,NCOD Vendor Invoice,0,0,-10.91,0.18
Payment Collection Fee,-20,30-NOV-2025,68211518448,S0D3E8/25/1948,71171100,COD Vendor Invoice,0,0,-10.91,0.18
Courier Fee,-60,30-NOV-2025,68213078249,S0D3E8/25/1950,71171100,COD Vendor Invoice,0,0,-10.91,0.18
Marketing Fee,19.41,30-NOV-2025,68213078249,S0D3E8/25/1950,71171100,NCOD Vendor Invoice,0,0,-10.91,0.18
Payment Collection Fee,-20,30-NOV-2025,68213078249,S0D3E8/25/1950,71171100,COD Vendor Invoice,0,0,-10.91,0.18
Courier Fee,-60,30-NOV-2025,68229170226,S0D3E8/25/1955,71131110,COD Vendor Invoice,0,0,-10.75,0.18
Marketing Fee,20.25,30-NOV-2025,68229170226,S0D3E8/25/1955,71131110,NCOD Vendor Invoice,0,0,-10.75,0.18
Payment Collection Fee,-20,30-NOV-2025,68229170226,S0D3E8/25/1955,71131110,COD Vendor Invoice,0,0,-10.75,0.18
Courier Fee,-60,30-NOV-2025,68195000873,S0D3E8/25/1946,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Marketing Fee,20.25,30-NOV-2025,68195000873,S0D3E8/25/1946,71171100,NCOD Vendor Invoice,0,0,-10.75,0.18
Payment Collection Fee,-20,30-NOV-2025,68195000873,S0D3E8/25/1946,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Courier Fee,-60,30-NOV-2025,68238739797,S0D3E8/25/1959,71131110,COD Vendor Invoice,0,0,-10.3,0.18
Marketing Fee,22.8,30-NOV-2025,68238739797,S0D3E8/25/1959,71131110,NCOD Vendor Invoice,0,0,-10.3,0.18
Payment Collection Fee,-20,30-NOV-2025,68238739797,S0D3E8/25/1959,71131110,COD Vendor Invoice,0,0,-10.3,0.18
Courier Fee,60,07-NOV-2025,67790698671,S0D3E8/25/1735,71171100,COD Vendor Invoice,0,0,10.91,0.18
Marketing Fee,-19.41,07-NOV-2025,67790698671,S0D3E8/25/1735,71171100,NCOD Vendor Invoice,0,0,10.91,0.18
Payment Collection Fee,20,07-NOV-2025,67790698671,S0D3E8/25/1735,71171100,COD Vendor Invoice,0,0,10.91,0.18
Courier Fee,60,06-NOV-2025,67747255047,S0D3E8/25/1709,71131110,COD Vendor Invoice,0,0,10.75,0.18
Marketing Fee,-20.25,06-NOV-2025,67747255047,S0D3E8/25/1709,71131110,NCOD Vendor Invoice,0,0,10.75,0.18
Payment Collection Fee,20,06-NOV-2025,67747255047,S0D3E8/25/1709,71131110,COD Vendor Invoice,0,0,10.75,0.18
